Date,Currency,Mean,Buy,Sell
11/1/2016,RWF,7.9634,7.9213,8.0055
11/1/2016,BIF,16.5194,16.4051,16.6338
11/1/2016,US DOLLAR,101.2953,101.1994,101.3911
11/1/2016,STG POUND,124.1928,124.0561,124.3294
11/1/2016,EURO,112.26,112.1428,112.3772
11/1/2016,USHS,33.7628,33.6815,33.8441
11/1/2016,TSHS,21.5509,21.4812,21.6207
11/1/2016,RWF,7.9634,7.9213,8.0055
11/1/2016,BIF,16.5194,16.4051,16.6338
11/9/2016,US DOLLAR,101.7208,101.6227778,101.8188889
11/9/2016,STG POUND,125.8483,125.7055556,125.9911111
11/9/2016,EURO,112.3558,112.2355556,112.4761111
11/9/2016,USHS,34.4375,34.35511857,34.51982003
11/9/2016,TSHS,21.4509,21.38110152,21.5207658
11/9/2016,RWF,7.9614,7.919355719,8.003520646
11/9/2016,BIF,16.4618,16.34765433,16.57600822
11/10/2016,US DOLLAR,101.6983,101.5983333,101.7983333
11/10/2016,STG POUND,125.8769,125.7327778,126.0211111
11/10/2016,EURO,111.9489,111.8266667,112.0711111
11/10/2016,USHS,34.5041,34.42099576,34.58718155
11/10/2016,TSHS,21.436,21.3657722,21.5062583
11/10/2016,RWF,7.9649,7.922624797,8.007119539
11/10/2016,BIF,16.4997,16.38514056,16.61424892
11/11/2016,US DOLLAR,101.7028,101.6072222,101.7983333
11/11/2016,STG POUND,126.3708,126.2355556,126.5061111
11/11/2016,EURO,110.8333,110.7244444,110.9422222
11/11/2016,USHS,34.5812,34.49958251,34.66289032
11/11/2016,TSHS,21.4449,21.37559554,21.5142187
11/11/2016,RWF,7.9659,7.924000065,8.007796909
11/11/2016,BIF,16.5008,16.38700699,16.61466541
11/14/2016,US DOLLAR,101.7417,101.6416667,101.8416667
11/14/2016,STG POUND,128.3986,128.2516667,128.5455556
11/14/2016,EURO,110.7731,110.6561111,110.89
11/14/2016,USHS,34.7744,34.69110547,34.85775191
11/14/2016,TSHS,21.4465,21.37631945,21.51676642
11/14/2016,RWF,7.9636,7.92141396,8.005870296
11/14/2016,BIF,16.4966,16.38209639,16.61110109
11/15/2016,US DOLLAR,101.7667,101.6694444,101.8638889
11/15/2016,STG POUND,127.5333,127.3933333,127.6733333
11/15/2016,EURO,109.5828,109.4638889,109.7016667
11/15/2016,USHS,34.9821,34.89951188,35.06461572
11/15/2016,TSHS,21.4314,21.36183906,21.50105188
11/15/2016,RWF,8.1663,8.123978075,8.208562608
11/15/2016,BIF,16.4595,16.34553735,16.57351438
11/16/2016,US DOLLAR,101.7717,101.6716667,101.8716667
11/16/2016,STG POUND,126.2186,126.0777778,126.3594444
11/16/2016,EURO,109.19,109.0711111,109.3088889
11/16/2016,USHS,34.9312,34.84776598,35.01467141
11/16/2016,TSHS,21.4206,21.35039183,21.49074636
11/16/2016,RWF,7.9584,7.916234478,8.000655705
11/16/2016,BIF,16.4951,16.38060959,16.60954379
11/17/2016,US DOLLAR,101.8533,101.7533333,101.9533333
11/17/2016,STG POUND,126.8172,126.6738889,126.9605556
11/17/2016,EURO,109.07,108.9455556,109.1944444
11/17/2016,USHS,35.2665,35.18276336,35.35019328
11/17/2016,TSHS,21.423,21.35290656,21.49315338
11/17/2016,RWF,7.959,7.916857386,8.001212082
11/17/2016,BIF,16.4479,16.30912836,16.58668021
11/18/2016,US DOLLAR,101.8278,101.7277778,101.9277778
11/18/2016,STG POUND,126.8083,126.6644444,126.9522222
11/18/2016,EURO,109.025,108.9038889,109.1461111
11/18/2016,USHS,35.236,35.15234098,35.31975315
11/18/2016,TSHS,21.4088,21.33863847,21.47889247
11/18/2016,RWF,7.9636,7.921393143,8.005777948
11/18/2016,BIF,16.5968,16.48225868,16.71126645
11/21/2016,US DOLLAR,101.8444,101.7472222,101.9416667
11/21/2016,STG POUND,125.7031,125.5588889,125.8472222
11/21/2016,EURO,107.9736,107.8477778,108.0994444
11/21/2016,USHS,35.2499,35.16717077,35.33265991
11/21/2016,TSHS,21.4249,21.35535028,21.49444429
11/21/2016,RWF,7.963,7.921000572,8.00493598
11/21/2016,BIF,16.4978,16.38387967,16.61175571
11/22/2016,US DOLLAR,101.8556,101.7555556,101.9555556
11/22/2016,STG POUND,127.0519,126.9127778,127.1911111
11/22/2016,EURO,108.3211,108.1972222,108.445
11/22/2016,USHS,35.3933,35.30950305,35.47717842
11/22/2016,TSHS,21.4226,21.35244115,21.49268399
11/22/2016,RWF,7.9631,7.920902354,8.005263158
11/22/2016,BIF,16.4499,16.31102877,16.58877484
